title,company-name,location,type,salary_package,company_requirements
MNC COMPANY IS HIRING -DAY SHIFT,HGS,"Bengaluru, Karnataka",Full-time," Up to ₹4,00,000","Qualifications Bcom,BBM,BBA,BSC,MBA,MA,MCA,MSC,BA, BE,…"
International Customer support |Gaming Process| Email & Chat,IntouchCX,"Electronic City, Bengaluru, Karnataka",Full-time,"₹25,458","Providing white glove service and having the ability to provide an overall excellent customer experience.
Have excellent judgment skills to be able to properly…"
IKEA Food Co-Worker - Part Timer,IKEA,"Bengaluru, Karnataka",Internship,"₹33,676","Desire to provide an excellent customer experience.
Contributes to the implementation of the unit business plan and the IKEA Retail Food business plan and other…"
Italian Speaking Interpreter,Accenture Inc.4.0,"Hybrid work in Delhi, Delhi",Part-time,"₹47,093","Experience in providing customer service, analytical testing, quality assurance testing, or other relevant experience.
Paid sick and vacation leaves."
Executive - Customer Service,WorldWide Logistics India Pvt Ltd,"Bengaluru, Karnataka",Full-time,"₹41,634","Freight Forwarding - Customer Support for AIR & SEA - Import and Export.
Years of Experience - 2-4 Years.
Job Types: Full-time, Permanent, Fresher."
Global Solution Architect,Arcadis3.9,"Bengaluru, Karnataka",Permanent,"₹49,135","Expert understanding of Agile software delivery, design patterns, architecture styles, and domain-driven design."
Customer Service Representative,Trigent Software Pvt Ltd,"Bengaluru, Karnataka",Internship," ₹50,000","Provide excellent experience to the candidates.
Ensure and maintain the security and confidentiality of client data.
Customer service: 1 year (Preferred)."
HCLTech Hiring for (VOICE FRESHERS) FOR BANKING PROCESS on 20th Sep 2024,HCLTech3.7,"Chennai, Tamil Nadu",Full-time ,"₹67,830","HCL is hiring candidates who are passionate to work in an international voice process for a renowned banking process.*.
A problem solving mind-set."
Food and Beverage Supervisor,ZoloStays,"Bengaluru, Karnataka",Full-time,"₹74,529","Coordination with internal and external teams for food supplies.
Resolving food tickets raised by customers.
Customer calling to increase food subscription."
Ecommerce/Amazon Cataloging Intern,Gifts By Rashi,"Indore, Madhya Pradesh",Full-time,"₹67,617","4 - Monitor competitor product listings and industry trends to stay informed about market dynamics.
3 - Edit and enhance product content, including titles,…"
Warehouse Incharge,PMG Distribution Pvt Ltd,"Bengaluru, Karnataka",part-time," Up to ₹60,000","The person will be given responsibility of running and maintenance of the godown.
Key responsibilities are - Handling the staff, arranging vehicles for dispatch…"
Site Supervisor,SPECTARC,"Ashoknagar, Bengaluru, Karnataka",Full-time,"₹12,504","Understand the design process and fully comprehend the client s needs and goals.
Ensuring that all materials used and work performed are as per specifications…"
Freelance Copy Editor,Ansrsource,Remote,Monday to Friday ,"₹59,390","As a Copy Editor, you will be responsible for reviewing and editing written content for grammatical accuracy, clarity, and consistency."
"Amazon, Flipkart & DropShipping Expert",Webtech Solutions,Remote,Internship," ₹2,60,000 - ₹2,80,000","Trend Analysis: Stay informed about e-commerce trends, platform updates, and industry shifts to keep our strategies innovative and competitive."
Cafe Assistant,Lucidspire Private Limited,"Bengaluru, Karnataka",Full-time,"₹76,962","C) Exp : Fresher or Minimum 6 months (Experience Letter and Pay slip compulsory).
B) Minimum English to speak and read.
D) Exp from Cafe background."
"Transcriber (General,legal,Business) -Work from Home Full time",EarningsScript Pvt.Ltd.,Remote,Full-time ,"₹29,982","Adhering to the industry practices and confidentiality guidelines at all times.
Translating the recorded audio hearings into text documents."
Inside Sales Representative - India Market,IWG2.4,"Delhi, Delhi",Full-time," ₹15,443.21 - ₹76,173.88",Proven track record of selling products or service solutions over the phone within a business-to-business sales environment.
Home tuitions,RightTutor,"Bengaluru, Karnataka",Part-time,"₹16,944","Job Type: Part-time/Full-time*.
Tutors will either travel to the student’s home or host lessons at their own place.
Assess and monitor student progress."
Data Entry Operator,Swaniti Initiative,"Jamshedpur, Jharkhand",Full-time,"₹18,222","Our interventions have included strengthening scheme implementation by identifying current gaps and limitations, providing research support to Hon’ble Members…"
Back Office Assistant-Intern,Medyug Technology Pvt Ltd,Remote,Internship," ₹20,000 - ₹45,000","Provide regular reports and updates on the performance of AI systems to stakeholders.
1.Review AI-generated responses across various platforms and applications."
pickers and packers,Flipkart Services Private Limited,"Yelahanka, Bengaluru, Karnataka",Full-time,"₹11,194","Picking and packing and loading and unloading and put away and audit.
Job Types: Full-time, Permanent, Fresher.
Total work: 1 year (Preferred)."
Company Secretary,CMC Groups of Institutions,"Sungam, Coimbatore, Tamil Nadu",Full-time,"₹57,263",We are seeking an experienced and highly organized Personal Secretary to provide comprehensive administrative and secretarial support to our Director.
KG Teachers,"Greenvalley International School, Trivandrum","Thiruvananthapuram, Kerala",Internship,"₹66,191","Demonstrated knowledge of current instructional strategies preferred.
Displays a passion for developing preschool-age appropriate educational activities and…"
Customer Service Assistant,TripFactory,"Bengaluru, Karnataka",Internship," ₹30,000 - ₹35,000","You will provide excellent travel-related support and assistance to our customers, ensuring smooth coordination of travel bookings, itineraries, and related…"
Pre - Sales - US Shift,Bhanzu,Remote,Full-time,"₹22,252","Learning & using our customer relations management software & others related computer.
Collating and maintaining client information in the CRM database."
Assistant Supervisor,PLENTIFUL VENDOR,"Jabalpur, Madhya Pradesh",part-time,"₹31,085","Restock and organize merchandise on the sales floor.
Answer customer questions and assist with requests.
Resolve customer complaints and issues in a timely and…"
Data Entry Operator cum Office Assistant,Konnectbrands,Remote,Internship," ₹15,000 - ₹20,000","This is much more than a Data Entry Operator role, you will be responsible for entering and updating data to multiple clients' personal databases while…"
Visa Counselor,SHAYONAM OVERSEAS,"Nadiad, Gujarat",Internship,"₹45,917","The Visa Counselor will be responsible for guiding clients through the visa application process, ensuring that all required documentation is prepared accurately…"
Ticketing Executive,FUTURE TICKETING GROUP PRIVATE LIMITED,"Delhi, Delhi",Full-time,"₹15,324","Assist customers with problems that may arise during travel.
Assist customers in booking flights, including providing information on available airlines, flight…"
IT SUPPORT FREELANCER / PART TIME,Zavasi,"Bengaluru, Karnataka",Full-time," ₹10,000 - ₹25,000","Are you interested in being associated with us with your rich experience of IT infrastructure support, and need flexible working hours or Part Time job."
Visa Counselor,SHAYONAM OVERSEAS,"Nadiad, Gujarat",Full-time ,"₹26,784","The Visa Counselor will be responsible for guiding clients through the visa application process, ensuring that all required documentation is prepared accurately…"
International Voice Process ( WORK FROM OFFICE JOB ),Elysium Infotech Private Limited,"Wagle Estate, Thane, Maharashtra",Full-time," ₹21,664.45 - ₹28,783.28","Keep records of all conversations in our call center database in a comprehensible way..
_Priority to candidates those are from Thane, Navi Mumbai, Mumbai…"
Airline Ticketing,Quick Tour & Travels,"Mumbai, Maharashtra",Full-time ,"₹45,016","Working on customer’s itinerary and giving best possible fare on best connecting flight.
Maintain regular communication with customers prior to departure to…"
Teachers,Velammal New Gen Edu Network2.0,"Chennai, Tamil Nadu",part-time,"₹73,212","Plan, prepare, and deliver lessons that cater to different learning abilities and encourage active student participation."
"Virtual Customer Service Associate - Hyderabad, India",Amazon.com,Remote in India,Internship," ₹14,000 - ₹20,000","In order to match our customer demand, we schedule based on a variety of different shift patterns within the operating hours of 6 am and 11 pm Sunday to Monday."
US-Customer Service Representative,QuantumBricks,Remote,Full-time,"₹75,161","At least 1 - 3 years' of relevant work experience.
Excellent phone etiquette and excellent verbal, written, and interpersonal skills."
Graduate Trainee (Freshers),JAIN Launchpad,"Jayanagar, Bengaluru, Karnataka",Monday to Friday ,"₹75,422","Attention to detail in planning and communication is an asset.
JAIN Launchpad* is a Technology Business Incubator, Accelerator and Seed fund, supported by …"
content Writer (for Ludhiana Location),LEEFORD HEALTHCARE LIMITED4.5,"Gurugram, Haryana",Internship,"₹54,206","Keeping up-to-date with industry trends and best practices in content writing.
As a Content Writer, you will be responsible for creating engaging and SEO…"
Office Assistant,Techcruz Technologies,Remote,Full-time," ₹15,000.00 - ₹33,110.43",The ideal candidate will be a hard-working professional able to undertake a variety of office support tasks and work diligently under pressure.
voice process,No Broker,"Bengaluru, Karnataka",Full-time,"₹22,587","Using internal tools and methods to provide the best possible service to the customer.
Keeping customers up-to-date on the progress of his account."
Cyber Security Intern,Wahy Lab Solutions,"Kochi, Kerala",Internship,"₹32,990","Job Types: Full-time, Permanent, Fresher."
Online Physics High School,eTutorszone.com,Remote,Internship," ₹25,000 - ₹30,000","Can work early morning hours (US shift).
We help students throughout the United States who are preparing for the K-12 (Math, English, Science) and SAT, ACT, and…"
Data Entry,Systemwares,"Kozhancheri, Kerala",Full-time,"₹50,522","In this role, you will be responsible for accurately entering and updating data into our systems, ensuring the integrity and accuracy of the information."
Teller-North,IDFC FIRST Bank,India,Full-time,"₹58,470","The role bearer would be responsible for client engagement, customer service, operations, liability build up, cross sales at the designated branch and ensure…"
Academic Coordinator (Female),Wisdom Edugate,"Wakad, Pune, Maharashtra",part-time," ₹16,000 - ₹18,000","Monday to Saturday 12:30 pm to 8:30 pm.
Responsible for maintaining the quality of education provided in the Institute.
Other support as and when required."
Immigration Paralegal,A Y & J Solicitors,Remote,Full-time ,"₹18,590","Your attention to detail will be crucial in maintaining our high standards of service.
Document Management: You’ll be responsible for collecting and…"
Customer Service Executive (WFH),Ingold Solutions Private Limited,"Remote in Kolkata, West Bengal",part-time,"₹39,594","Our ideal candidate will have a passion to provide exceptional customer service.
Main point of contact for our English speaking clients."
Tele Caller Executive,Deepika Enterprises,Remote,part-time," ₹6,00,000 - ₹9,00,000","Showcase in the depth knowledge of the products.
Collaborate closely with the marketing team.
Expected hours: 20 – 40 per week.
Tele sales: 1 year (Preferred)."
Research Intern,Kalvium,"Remote in Bengaluru, Karnataka",Full-time ,"₹10,966","Comfortable with making phone calls to obtain necessary information.
Data Collection: Visit specific websites to gather and consolidate data in accordance with…"
Data Entry strong English.,Finn McCools tours,"Salt Lake, Kolkata, West Bengal",Monday to Friday ,"₹72,511","In this role, you will play a critical part in ensuring the accuracy and efficiency of our data management processes.
Higher Secondary(12th Pass) (Preferred)."
STEM Event Coordinator,( ScienceUtsav Educational Services Pvt Ltd),"Bengaluru, Karnataka",part-time," ₹10,000 - ₹12,000","Conduct workshops as per the company's class plan and learning management system to engage with children.
Provide leadership and motivation in order to ensure…"
Photographer,RK Photocentre,"Coimbatore, Tamil Nadu",Full-time ,"₹45,410","Job timing: 09:30 am - 07:30 pm.
Experience required: 3 to 4 years.
Total work: 3 years (Preferred).
This is a full-time on-site role for a Photographer at…"
Project Assistant,WQA ASSESSMENTS & CERTIFICATIONS PVT LTD,"Puthiyara, Calicut, Kerala",Permanent," From ₹9,000","MANAGEMENT SYSTEM DEFINING AND AUDIT SUPPORT.
Job Types: Full-time, Permanent, Fresher.
Total work: 1 year (Preferred)."
Executive Assistant to CEO,Balaji Malts Pvt.Ltd,"Bengaluru, Karnataka",Full-time,"₹21,138",Apply strong business acumen to offer financial insights and recommendations that support strategic decision-making and optimize overall financial management.
Data Annotator,Tika Data Services Pvt Ltd,"Bengaluru, Karnataka",Internship,"₹43,058","_Tika aspires to enable regular businesses to make full use of their raw domain-specific data, transforming it into a form that ML algorithms can process and…"
Office Administrator,Techart India Private Limited,"Bengaluru, Karnataka",Full-time," ₹6,00,000 - ₹7,20,000","Microsoft Office: 3 years (Required).
Manage administrative and HR tasks.
Supervise staff and ensure a productive work environment."
Data Entry Operator,Paras Power And Coal Benefication Limited,Remote,Full-time,"₹42,273","The ideal candidate will be responsible for inputting, updating, and maintaining accurate data within our systems.
Proficient in computerized data entry."
Content Editor,Text Mercato,"Bengaluru, Karnataka",Full-time,"₹65,039",The company prides itself on disrupting the industry with its dedicated B2B content platform that leverages technology and sound processes to ensure timely…
Fresh Graduates,Tecknodreams Software Consulting,"Bengaluru, Karnataka",Full-time," ₹2,25,000 - ₹3,60,000","BE/MCA with an aggregate of 65% throughout their academics.
Must have passed out in 2022 or 2023.
Should be trained from any Java institute."
Draftsman,ICIT Computer Institute,Remote in India,Permanent,"₹40,134","Would need to make 8-10 visits in a month.
I require a part time draftsman to make 2D floor plans in Autocad for interior and Vastu consulting."
Office Administrator,ExcelR Solutions,"Bengaluru, Karnataka",Internship,"₹23,417","Communicates with relevant agencies to produce travel itineraries for business directors and employee events.
Maintains a positive and friendly company image by…"
Customer Support Associate,The Recruit HR Services,Remote,part-time," ₹3,00,000 - ₹3,80,000","Resolve the customer’s queries and giving the best solution.
Prepare various shipping documents via call.
Under graduate candidates with excellent communication…"
Assistant Supervisor,Prashant Enterprise,Remote,Full-time ,"₹16,712","*only for freshar condidate and age 18+ and qualification 12th+ my team full sapported * Job Type: Fresher Pay: ₹15,000.00 - ₹20,000.00 per month…"
International Process- Email & chat,Covenant Consultant,"Bengaluru, Karnataka",Internship,"₹38,494","Shift: Completely rotational shifts, in specific very rare day shifts, most of the shifts rotate between 2 pm to 2 am any 9 hrs.*."
Office Admin,KoiReader Technologies,Remote,Full-time," ₹13,000 - ₹18,000","Minimum 1 year of experience in an administrative role (or relevant experience).
Manage day-to-day office operations and organize company documents, records,…"
Project Coordinator,Tomte India Private Limited,Remote,Full-time ,"₹49,429","Previous experience as an Administrative Coordinator, Administrator, or similar role preferred.
Comfortable working in US Shift."
Online Chat Representative voice (non voice),manyfits,"Vadodara, Gujarat",part-time,"₹75,717","Rotational shift for boys- Day & night & evening (Any Shift of 9 Hours).
Comfortable with shift rotational girls only day.
6 Working days/ 1 Rotation Off."
Subject Matter Expert (Mathematics),Kunduz Technologies Private Limited,Remote,Full-time," ₹4,000 - ₹5,000","If any full-time employment opportunity arises, preference will be given to existing Subject Matter experts if they meet the criteria for the role."
Customer Support Executive,Ideatree,Remote in India,Part-time ,"₹57,765","Responsibilities as a Mid-Level Customer Support Executive, you will be responsible for ensuring the highest level of customer satisfaction and support for our…"
Tele Caller Executive,PJ Group,Remote,Permanent,"₹30,288","Identifying qualifying and securing business opportunities , coordinating business generation activities.
Maintaining a list base of prospect client."
"Tutoring-Math, English, Science",eTutorWorld,Remote,part-time," ₹20,000 - ₹30,000","We are looking for teachers/tutors with teaching experience in Math, English, Science.
Graduate or post graduate who can teach Math, English, Science."
Customer Service New Associate,Accenture,"Bengaluru, Karnataka",Full-time,"₹26,907","Roles and Responsibilities: •In this role you are required to solve routine problems, largely through precedent and referral to general guidelines • Your…"
Hindi,Chinar Global Academy,Remote,Full-time,"₹65,780","Candidates must have a laptop, WIFI connection and excellent communication skills in English.
The trainer must also be developing and presenting lessons,…"
Day Shift Job in Bangalore-Upto 27K-Excellent English & Hindi,Valuestream Business Solutions Pvt ltd,"Bengaluru, Karnataka",Permanent," From ₹25,000","Landmark:- Near Sidewalk Club near bata showroom (Marathahalli Multiplex).
2nd floor, Soul space paradigm, Marathahalli Village, Marathahalli, Bengaluru -560037…"
Executive Front Desk,NETHRADHAMA SUPER SPECIALITY EYE HOSPITAL,"Jayanagar, Bengaluru, Karnataka",Full-time ,"₹26,872","Provide a sensitive and non-judgmental frontline reception service to deal professionally and politely with enquiries from users, visitors and receiving…"
Draftsman,ICIT Computer Institute,Remote in India,Permanent,"₹66,274","Would need to make 8-10 visits in a month.
I require a part time draftsman to make 2D floor plans in Autocad for interior and Vastu consulting."
Cashier,Ujjivan Small Finance Bank,India,Full-time,"₹22,943",Business Financials Meet the set targets on GL in terms of open market acquisition and repeat GL loans Convert GL customers family member and referrals for…
Hindi,Chinar Global Academy,Remote,part-time," Up to ₹15,999","Candidates must have a laptop, WIFI connection and excellent communication skills in English.
The trainer must also be developing and presenting lessons,…"
Teller-North,IDFC FIRST Bank,India,Full-time ,"₹70,794","The role bearer would be responsible for client engagement, customer service, operations, liability build up, cross sales at the designated branch and ensure…"
Subject Matter Expert/ Statistics/ Freelancer/ Remote/Fresher,Go ask now technology pvt ltd,Remote,Permanent,"₹76,793","Skills Required - Excellent communication skills - verbal and written.
Must be able to adhere to a timeline.
Job Types: Full-time, Permanent."
content Writer (for Ludhiana Location),LEEFORD HEALTHCARE LIMITED4.5,"Gurugram, Haryana",Permanent," ₹25,000 - ₹30,000","Keeping up-to-date with industry trends and best practices in content writing.
As a Content Writer, you will be responsible for creating engaging and SEO…"
Fresher - SAP,Ikyam Solutions Pvt Ltd,"Koramangala, Bengaluru, Karnataka",Full-time,"₹78,544","Gather business requirements from clients and design SAP B1 solutions that meet their needs.
The consultant will work with clients to gather business…"
Research Intern,Kalvium,"Remote in Bengaluru, Karnataka",part-time,"₹76,238","Comfortable with making phone calls to obtain necessary information.
Data Collection: Visit specific websites to gather and consolidate data in accordance with…"
Mathematics Teacher -K12,Vidyalai,"Kochi, Kerala",Internship," ₹10,000 - ₹12,000",Take an interest in the student’s learning outcomes and ensure that they are poised for improvement in their grades.
Fashion Model,7d Valley,"Bengaluru, Karnataka",Full-time," ₹3,60,000 - ₹5,40,000","Job Types: Part-time, Fresher, Temporary, Freelance.
Bangalore, Karnataka: Reliably commute or planning to relocate before starting work (Preferred)."
Home tuitions,Velocity classes (Individual concept learning),"Bengaluru, Karnataka",Full-time,"₹61,044","Communicate effectively with parents/guardians to discuss student performance and address any concerns.
Responsibilities *: Conduct one-on-one tutoring sessions…"
Customer Support Associate,The Recruit HR Services,Remote,part-time,"₹30,403","Resolve the customer’s queries and giving the best solution.
Prepare various shipping documents via call.
Under graduate candidates with excellent communication…"
Cyber Security Researcher Intern,Necurity Solutions Network Security Private...,"Electronic City, Bengaluru, Karnataka",Internship ,"₹49,126","➢The candidate must have knowledge of software design and development, software and network architecture, protocols, and standards.
➢ Any Bachelor's degree."
Customer Support Executive (CSE),Genesis HR Services,"Bengaluru, Karnataka",Monday to Friday,"₹53,433","Comfortable in engaging the client on a discussion about current performance and improvement ideas.
Experienced in a coaching role  Displays superb customer…"
US IT Recruiters (Female remote),Sri Rudhira Tek,Remote,Full-time," ₹5,50,000 - ₹5,75,000","Understand our clients' business and IT initiatives, as well as their specific technical and cultural environments to best match the candidates with their…"
International Process- Email & chat,Covenant Consultant,"Bengaluru, Karnataka",Full-time ,"₹77,768","Shift: Completely rotational shifts, in specific very rare day shifts, most of the shifts rotate between 2 pm to 2 am any 9 hrs.*."
Entry Level Operations Support Officer,Mobile Mobile Orlando,"Remote in Mumbai Central, Mumbai, Maharashtra",Internship,"₹24,088","As an Operations Support Officer, you will play a critical role in ensuring that our operations run smoothly and efficiently."
Data Entry Coordinator,LED FLEX GROUP,"HITEC City, Hyderabad, Telangana",Internship," ₹10,133.99 - ₹15,000.00","What you’ll get working with LEDFlex*.
We design, develop and manufacture LED lighting solutions for the UK and International markets."
Machine Learning (Entry Level),Prezent.ai,Remote,Full-time ,"₹65,063","Collaborate with data scientists, software engineers, and product managers to integrate machine learning solutions into our platform."
Front Desk - Hotel Industry (2yr + Exp ) - Ooty,Delightz Inn,"Udagamandalam, Tamil Nadu",Monday to Friday ,"₹45,010",Controls cash transactions at the front desk and maintains complete responsibility for personal bank as specified by hotel bank agreement policy.
Grocery Supervisor,Lulu Global Mall,"Bengaluru, Karnataka",Full-time," ₹3,00,000 - ₹3,80,000","The Supervisor will be responsible for overseeing and coordinating the day-to-day operations of [Grocery & Roastery team], ensuring that tasks are completed…"
Data Analysis,Leventm Technologies,"Bengaluru, Karnataka",Full-time ,"₹11,904","The goal is to promote corporate values and enable business success through human resources management, including job design, recruitment, performance…"
Customer Service Executive,Nykaa Fashion,India,Permanent," ₹19,000 - ₹20,984","Aggregate and report on customer service trends quarterly to sales, technology, design, and merchandising.
Maintain customer service log, tracking all incoming…"
MIS Sales Coord MNC,ATMS,"Bengaluru, Karnataka",Part-time,"₹72,921","Co-ordinate for customer complaints and service needs with service / Helpdesk.
Documentation collection and submission for Tenders."
Customer Service New Associate,Accenture,"Bengaluru, Karnataka",Full-time," ₹40,000 - ₹50,000","The responsibility of an advisor as customer service associate will be to assist our customers end to end for any queries around billing, package related and…"
Recruiter,efficiently,Remote,Full-time,"₹67,451","Stay up-to-date with industry trends and best practices to ensure effective recruitment strategies.
Provide guidance and support to hiring managers throughout…"
MILL SUPERVISOR,ABC TEXTILES,"Erode, Tamil Nadu",Internship," ₹45,000.00 - ₹60,535.75","Pay: ₹8,431.84 - ₹33,315.75 per month.
Job Types: Full-time, Permanent.
Total work: 1 year (Preferred)."
Export Documentation Executive,Lattzen Innovation,"Ahmedabad, Gujarat",Full-time,"₹35,550","Pay: ₹45,000.00 - ₹60,535.75 per month.
Repare and audit export documentation for vessel shipments and settlements.
Total work: 1 year (Required)."
Voice Process,HGS,"Bengaluru, Karnataka",Internship,"₹34,845","BBM,BBA,BA,Bcom,BSC,BE,Btech,MBA,MA,MCA,Mcom,MSC."
tellecaller,prachi enterprise,Remote,Permanent," ₹15,000 - ₹22,000","Pay: ₹10,485.70 - ₹15,000.00 per month.
We are look for few fresher candidates for our job role.
NOTE : we are looking for only serious candidates."
Retail Assistant,INTEGRATION FUTURE LIMITED,Remote,Full-time,"₹18,210","Pay: ₹15,000.00 - ₹20,000.00 per month.
Overseeing the operation finance and general direction of a business.
Only fresher candidates can apply."
Freshers Customer Support,Botree Software International Pvt Ltd,"Bengaluru, Karnataka",Permanent,"₹23,848","Resolve service issues (Level 1 & 2 as appropriate) by understanding, clarifying customer problem, determining the cause, and ensuring resolution based on SLAs."
Customer Support Executive,Ideatree,Remote in India,Internship," ₹20,000 - ₹30,000","Responsibilities as a Mid-Level Customer Support Executive, you will be responsible for ensuring the highest level of customer satisfaction and support for our…"
Fresher - Hindi Tele sale Voice Process. Bangalore,iplusresearch Pvt Ltd,"Jayanagar, Bengaluru, Karnataka",Full-time,"₹69,254",Acquire new customers or businesses for the company from the given leads.2) Cross-sell or up-sell various financial services of the company.3) Support the…
School Librarian,Big Temple International School,"Orattanadu, Tamil Nadu",part-time," ₹10,000 - ₹30,000","We are seeking an enthusiastic and dedicated School Librarian to join our team.
Provide information literacy instruction to help students develop research…"
Online Chat Representative voice (non voice),manyfits,"Vadodara, Gujarat",Full-time ,"₹50,058","Don't call we will contact as soon as possible.
Pay: ₹13,000.00 - ₹18,000.00 per month.
Rotational shift for boys- Day & night & evening (Any Shift of 9 Hours)."
Customer Service Support Representative I - Email & Chat Process (Bangalore),Groupon,"Bengaluru, Karnataka",Monday to Friday,"₹75,741","In case you or any candidate receives any unsolicited or fraudulent communication regarding a job offer or an interview call against payment of money, please…"
Assistant Supervisor,Prashant Enterprise,Remote,Full-time," ₹13,000 - ₹18,000","Pay: ₹15,000.00 - ₹20,000.00 per month.
Only for freshar condidate and age 18+ and qualification 12th+*."
Customer Service Representative,Times Internet Limited,Remote,Full-time ,"₹20,770",1.You will have the responsibility of taking complete ownership in sorting out the queries of the prospective /existing investors so that he/she can invest …
Data Entry Operators,JS Leads Technologies Pvt. Ltd.,"Nagercoil, Tamil Nadu",Permanent,"₹39,365","To be a successful data entry operator, you should possess excellent typing skills and be attentive to detail.
Pay: ₹144,000.00 - ₹180,000.00 per month."
Data Entry strong English.,Finn McCools tours,"Salt Lake, Kolkata, West Bengal",Full-time,"₹34,319","If you are a meticulous individual with a flair for language and a passion for precision, we encourage you to apply.
Pay: From ₹9,000.00 per month."
Customer Service Representative,Times Internet Limited,Remote,part-time," ₹6,00,000 - ₹10,50,000","Role: Customer Experience Specialist Location: Gurgaon, Haryana Responsibilities: 1.You will have the responsibility of taking complete ownership in…"
Data Entry Operators,JS Leads Technologies Pvt. Ltd.,"Nagercoil, Tamil Nadu",Full-time ,"₹43,390","We are seeking a detail-oriented data entry operator to compile, capture, and maintain our digital database. As a data entry operator, you will be required to…"
QA Manual Tester,Stark.Ai,Remote,Monday to Friday ,"₹16,247",Identifies problems and bugs in software throughout the development cycle and after it is released. Their role is to identify potential user issues and help…
Customer Support Executive,Miko,Remote,Permanent," ₹18,000 - ₹25,000","JD for Customer Support Executive - Responsibilities - 1. Communicate with current customers via chat, email, video calls, and phone to nurture and onboard…"
Photographer,RK Photocentre,"Coimbatore, Tamil Nadu",Full-time,"₹25,118",Job title: Photographer (Male) Role Description This is a full-time on-site role for a Photographer at RK Photocentre. The Photographer will be…
Packing Operator,Mr Brown Bakery Food Products Pvt Ltd,"Lucknow District, Uttar Pradesh",Permanent,"₹11,783",Job Type- Full Time Job Location- Lucknow Experience- 1-3 years Responsibilities: Operating gift wrapping machinery and tools Ensuring the…
Shift Supervisor,Starbucks,"Ahmedabad, Gujarat",part-time,"₹58,069","Roles and Responsibilities : Responsibilities and essential job functions include but are not limited to the following: Acts with integrity, honesty, and…"
Subject Matter Expert (Mathematics),Kunduz Technologies Private Limited,Remote,part-time," ₹15,000 - ₹30,000",About Kunduz Kunduz is a global ed-tech startup aiming to make educational resources more accessible for everyone and democratize test prep and learning.…
Graduate Trainee,Emerald Jewel Industry India Limited,"Narasimhanaickenpalayam, Coimbatore, Tamil Nadu",Full-time,"₹66,529","Qualification : B.Com (2024 Batch). Computer Knowledge : MS Office. Immediate Joiners preferred. Job Type: Full-time Pay: ₹20,000.00 - ₹25,000.00 per…"
Qualcomm positions,Canus IT Solutions,"Hyderabad, Telangana",Internship,"₹47,473","PYTHON, DEVOPS,Ai, SAP, BUSINESS ANALYST​. Positions available in QUALCOMM. Nearly 40 positions are vacant. Freshers and experie'ced welcome to join. leave…"
Voice Process Associate,Browse4Jobs,"Gandhipuram, Coimbatore, Tamil Nadu",Internship," ₹3,00,000 - ₹3,20,000","Company: Tech Mahindra Position: Voice Process Associate Date: Saturday, 17th August 2024 Time: 10:00 AM to 3:00 PM Hiring Partner: Browse4Jobs …"
Digital Marketing Intern,Arupavi Health Technologies Pvt. Ltd,Remote,Full-time ,"₹41,530","What Will You Do: Research new ideas for Web/social media content & produce collateral materials to drive social media campaigns, email campaigns, SEO.…"
Corporate relations - Associate,Goodera,"Bengaluru, Karnataka",Full-time,"₹63,920","*Responsibilities: * Establish clear retention goals and process milestones for the client to work towards. Assist customers as needed with setting up,…"
Data Entry Operator (DEO)-Budigere- Bangalore,Auraa Solutions,"Bengaluru, Karnataka",Internship," ₹4,000 - ₹5,000",Data Entry Operator responsibilities include collecting and entering data in databases and maintaining accurate records of valuable company information. Our…
STEM Event Coordinator,( ScienceUtsav Educational Services Pvt Ltd),"Bengaluru, Karnataka",Part-time ,"₹32,361",1. Help children spend fun time while learning science concepts through hands-on activities for students in grades 1 to 10 2. Make science exciting at the…
Site Supervisor,HS Solutions,"Ahmadnagar, Maharashtra",Permanent," ₹20,309.00 - ₹25,665.70","Pay: ₹20,309.00 - ₹25,665.70 per month.
1-2 Years Experience Required.
You will be in charge of supervising.
Total work: 1 year (Preferred)."
Freshers - Trainee,Magnarus Technologies,"Hyderabad, Telangana",Full-time,"₹69,464","Candidates should have excellent acadamic records.
B.E/B.Tech in computer science and M.C.A.
Strong logical, analytical and problem solving skills."
Edtech Sales - Kannada,ExcelR Solutions,"Bengaluru, Karnataka",Permanent,"₹34,270",We house a passionate bunch of professionals that are committed to answering the industry's needs in the ever-changing technological advancements and catering…
Customer Service Representative,Zeblaze Solutions,"Remote in Yelahanka New Town, Bengaluru, Karnataka",part-time," ₹5,00,000 - ₹6,50,000","Helpful Experience: If you’ve worked in customer service or helped people with electronics before, that’s a bonus!
Pay: ₹15,000.00 - ₹40,000.00 per month."
KYC Executive,ATDXT,"Bengaluru, Karnataka",Full-time ,"₹50,043","Them to visit a branch.
Customer is genuine and that the documents provided are not forged or tampered with.
Video KYC agents ensure that."
Accounts Assistant,Sneakinretail Private Limited,"Bengaluru, Karnataka",part-time,"₹72,346","Petty cash reconciliation for every month.
Adopting Cost Control measures and sees that are adhered.
Adopting Cost Control measures and sees that are adhered."
AI and Data Scientiest,prwatech technologies,"Bengaluru, Karnataka",part-time," ₹3,00,000 - ₹6,00,000","Collaborate with cross-functional teams to understand business requirements and translate them into technical solutions.
Job Types: Full-time, Internship."
