title,company-name,location,type,salary_package,company_requirements
Data Entry,Klaus IT Solutions Pvt Ltd,"Bengaluru, Karnataka",N/A,"₹20,000 - ₹25,000",Required Data entry Specialist with Good communication skill for a MNC.
Marketing/ Office Coordinator,"NX360 Architects and Services, LLC",Remote,Full-time,N/A,"Graphic design: 3 years (Required).
Social media management: 3 years (Required).
Content creation: 3 years (Required).
Keen eye for graphic design."
Content Writer(Hindi),TechMile,Remote,N/A,N/A,"Able to read and write Hindi.
Able to translate content from English into Hindi without any translator tool.
Able to write clickbait headlines."
Content Writer,Implovate EduTech India,Remote,N/A,"₹2,25,000 - ₹3,60,000","Hardware required - You must have one laptop/PC with a minimum of 8GB RAM and an i5 processor and an internet connection.
Employment Type - Full time/Part-time."
Customer Care Executive,Gv Money,Remote,Permanent,N/A,"Provide accurate product and service information.
Resolve customer queries and complaints efficiently.
Answer inbound calls and emails promptly."
Inside Sales Executive,VMax Wellness,Remote,N/A,N/A,"Would you be interested in the Split Shift timings ( 8 am to 10.30 am and 4 pm to 10.30 pm ).
Rotational Shift ( 8 am to 10.30 am and 4 pm to 10.30 pm )."
Food Production,avana Resort,"Mettuppalaiyam, Coimbatore, Tamil Nadu",N/A,"₹18,000 - ₹28,000","Total work: 2 years (Preferred).
Hotal Field: 2 years (Preferred)."
Associate Professor / Professor - Optometry,Chandigarh University,Chandigarh,Full-time ,N/A,"Develop professional logistics to improvise student performance.
Guide, lead and mentor students in research projects."
Content Writer,Sukiru,Remote,N/A,N/A,"Fresh out of college with an English degree (bonus points if you graduated summa cum awesome).
Email campaigns that recipients actually look forward to opening."
Associate Professor / Professor - Optometry,Chandigarh University,Chandigarh,N/A,N/A,"Develop professional logistics to improvise student performance.
Guide, lead and mentor students in research projects."
Office Assistant,REVA University,"Bengaluru, Karnataka",N/A,"From ₹1,534.13","Maintain files and records so they remain updated and easily accessible.
Sort and distribute incoming mail and prepare outgoing mail (envelopes, packages, etc.)…"
Freelance Content Writing,Wordplay Content,Remote,Contractual / Temporary ,N/A,"With us, you will never run out of something to write and you will earn a consistent monthly income.
If you’re a subject matter expert, we’ve got freelance…"
Personal Assistant,Exavalu,Remote in India,N/A,"₹12,000 - ₹20,000","Work timing during US EST shift Acting as a point of contact.
Dealing with correspondence Managing schedules: Organizing meetings, appointments, and travel…"
Account Executive (Bangalore Only),Dilzer Consultants,"Remote in Bengaluru, Karnataka",Full-time ,N/A,"Dilshad and Dilzer Income and Exp Every month.
Raise invoice with Vendors and Payment.
Maintaing Books of Accounts for income and Expenses Dilshad and Dilzer."
Freelance Content Writer,Zedex Info Pvt Ltd,Remote,N/A,N/A,"Research: Conduct thorough research on industry-related topics and trends to generate fresh and relevant content ideas.
Pay: From ₹1,534.13 per week."
Scientist Trainee,Anthem Biosciences,"Bengaluru, Karnataka",N/A,₹250,"For employees, HR tries to achieve a better work place, sensitizing the management to their needs and assisting them in navigating their work place issues that…"
Data Entry Operator/Computer Operator,Vinfro IT Solutions Private Limited,"Chandigarh, Chandigarh",N/A,"From ₹40,000","As a data entry operator, you will be required to manage documents & data for data entry, check documents & data for errors, input data and update the database,…"
BPO Associate,SAGAR SOLUTION,Remote,Full-time,N/A,"Qualification: *Any Graduate with 1 year experience*.
Candidate should be fluent in Hindi and English (Versant Level 4).
Job Types: Full-time, Fresher."
Data Entry Operator,Dyuti Technologies,"Bengaluru, Karnataka",N/A,N/A,"Close contact with subject matter experts and managers.
Achieve work-life balance with a healthy and relaxed work atmosphere.
(BE, MBA, PG’s not preferred)."
Accounts Executive,JEF TECHNO SOLUTIONS PVT LTD,"Bengaluru, Karnataka",Full-time ,N/A,"* Maintain files and records upto date.
* Should prepare Monthly GST returns.
* Handling Accounts payable ( Reporting, Mapping and Reconciliation)."
Freelance Graphic Designer,Holy Krishna,Remote,Monday to Friday ,N/A,"Stay up-to-date with the latest design trends and best practices for social media platforms, particularly Facebook.
Expected hours: 8 per week."
Kannada Translators,Harivu Creations,"Bengaluru, Karnataka",N/A,"₹15,000 - ₹25,000",Those who can translate content from English and Hindi to Kannada can apply for this job.
tellecaller,Kumar Associates,"Raipur, Chhattisgarh",Part-time,N/A,"Maintain database of candidate records and providing guidance, training to staff for recuriting process and helping youngster to Financial independent."
Front Office Assistant,Arna Skin and Hair Clinic,"Hyderabad, Telangana",N/A,N/A,"Timings: 11 am to 8 pm (6 Days/Week).
Suggesting solutions based on patient's needs and requirements.
The high end USFDA approved LASERS and equipment were then…"
Pharma Aide ( Male),Sukino Health,"Bengaluru, Karnataka",N/A,"₹30,000 - ₹40,000","Sorting near-expiry and slow-moving medicines, returning them to suppliers monthly.
Pharmacist with B Pharma or D Pharma, Fresher or experience."
FX Introducing Brokers (Freelancer),Parla Consultancy Sdn. Bhd.,Remote,Full-time,N/A,"Stay updated with industry regulations and best practices.
This role requires a strategic thinker with the ability to execute trades, manage risk, and develop…"
Medical scribe,Medical Scribing Academy,Remote,N/A,N/A,"Plus Two or any Degree.
Job Types: Full-time, Fresher."
CAE ANSA,Marutee Design and Engineering,"Bengaluru, Karnataka",N/A,"₹20,000 - ₹25,000","Need few more resumes with basic analysis knowledge on.
Experience in automotive rather than CFD who can handle the work individually with minimum guidance."
Graduate Trainee,Siddhi International,Remote,Full-time,N/A,"Job Types: Full-time, Permanent, Fresher."
Customer Service Assistant,Candle light events,"Remote in Tiruvalla, Kerala",N/A,N/A,"Ready to work part-time ( You may receive a customer query-related call any time of the day).
We are looking to hire a customer service assistant mainly…"
Catalog Associate,Netscribes Data & Insights Private Limited,"Bengaluru, Karnataka",N/A,"₹15,000 - ₹65,000","Good in advanced Excel & Power BI.
Should know how the pricing methodology works: For example: Product Cost, Shipping Costs, Taxes and Duties, Transaction Fees,…"
Mass Media Executive,WAVELINE SPORTS PVT. LTD,"Navi Mumbai, Maharashtra",Contractual / Temporary ,N/A,"Experience in Event Management and sports industry is a plus.
The role involves conducting keyword research, performing SEO Audits, building links, analyzing…"
Office Assistant,Elanadu Milk Pvt Ltd,"Pantheerankavu, Calicut, Kerala",N/A,"₹2,00,000 - ₹4,00,000",We are looking for fresher candidates who completed graduation with basic computer knowledge and their duties include all store operations.
General Virtual Assistant (India),Wing Assistant,Remote,Full-time ,N/A,"Gather data on trends, industry best practices, and other publicly available information and prepare reports on the findings (e.g., for comparative analysis)."
General Virtual Assistant (India),Wing Assistant,Remote,N/A,"₹10,000 - ₹32,000","Gather data on trends, industry best practices, and other publicly available information and prepare reports on the findings (e.g., for comparative analysis)."
Mass Media Executive,WAVELINE SPORTS PVT. LTD,"Navi Mumbai, Maharashtra",Full-time,N/A,"Experience in Event Management and sports industry is a plus.
The role involves conducting keyword research, performing SEO Audits, building links, analyzing…"
Office Assistant,Elanadu Milk Pvt Ltd,"Pantheerankavu, Calicut, Kerala",N/A,"₹20,000 - ₹35,000",We are looking for fresher candidates who completed graduation with basic computer knowledge and their duties include all store operations.
Social Media Assistant (India),Wing Assistant,Remote,Full-time,N/A,"Gather information on audience profile and engagement, industry-related trends, promotional activities utilized by competitors, and marketing insights."
ISM_ExcelR Edtech(Hindi),ExcelR Solutions,"Bengaluru, Karnataka",N/A,N/A,Summary: Internal Sales Manager is responsible to generate business by selling the courses offered by ExcelR Edtech Pvt Ltd.
Grocery Supervisor,Lulu Global Mall,"Bengaluru, Karnataka",N/A,"₹8,086 - ₹15,000","The Supervisor will be responsible for overseeing and coordinating the day-to-day operations of [Grocery & Roastery team], ensuring that tasks are completed…"
Content Writer,ADEO DISTINCTIONS & DIMENSIONS PVT LTD,Remote,Full-time,N/A,"Market Research: Conduct research on industry trends, competitor activities, and audience preferences to inform content creation."
Associate,Flipkart,"Bengaluru, Karnataka",N/A,N/A,Support negotiation of Legal/KYC documentation requirements with the banks & establish standard processes with the bank.
Disc Jockey,Bel Cibo Hospitality Pvt. Ltd.,"Delhi, Delhi",N/A,"₹40,000 - ₹50,000",Elevate the Atmosphere: Set the tone and energy of the bar by curating an electrifying music selection that complements the upscale ambiance and keeps guests…
fresher's PUC and Graduates,Bringle Excellence,"Bengaluru, Karnataka",Full-time,N/A,"Sudhaansh Enterprise is looking for Interns, Full Time & Part Time professionals in various categories like Sales, Marketing, Finance, Technology, Operations,…"
Immigration Paralegal,A Y & J Solicitors,Remote,N/A,"₹5,00,000 - ₹6,50,000","Your attention to detail will be crucial in maintaining our high standards of service.
Document Management: You’ll be responsible for collecting and…"
RMS FinCrime Associate,EY,"Bengaluru, Karnataka",Full-time ,N/A,"As our efforts towards building a better working world, GDS operations need to create an evolving framework of FinCrime Operational excellence framework control…"
Back Office Executive,Asterzen Solutions Pvt. Ltd.,"Remote in Pune, Maharashtra",N/A,N/A,"Job Description: *As a Back-Office Executive, you will be assisting with various duties that includes data management, data processing, data analysis, and…"
Customer Service Associate,eTutorszone.com,Remote,N/A,"From ₹60,000","The ideal candidate will be responsible for providing exceptional customer service to our clients, addressing their inquiries, and ensuring a seamless…"
Translators (Gujarati - English),Upwork,Remote in Andhra Pradesh,Full-time,N/A,"Upwork has partnered with one of their enterprise-level client, who is a full-service data company as they are looking for skilled translators fluent in…"
Sales Excecutive,NGO PARTNERS,Remote,N/A,"₹15,000 - ₹25,000","Client Relationship Management: Build and maintain strong relationships with clients, providing excellent customer service and addressing any issues or concerns…"
Assistant Supervisor,Disha Enterprises,"Mumbai, Maharashtra",Full-time,N/A,Total work: 1 year (Preferred).
Data Entry Operator/Computer Operator,Experion Infosystems Pvt Ltd,"Kochi, Kerala",N/A,"₹10,000 - ₹15,000","Demonstrated understanding of projects from the perspective of both client and business.
Basic knowledge of web application usage."
Data Entry Operator,Paras Power And Coal Benefication Limited,Remote,Part-time,N/A,"The ideal candidate will be responsible for inputting, updating, and maintaining accurate data within our systems.
Proficient in computerized data entry."
Content Writer - BFSI,LexiConn,Remote,N/A,N/A,Understand customer segments and customer experience journeys thoroughly to help meet business objectives and customer satisfaction with precise and user…
Customer Service Representative,SAGAR SOLUTION,Remote,N/A,"₹4,00,000 - ₹6,00,000","Customer service: 1 year (Preferred).
Qualification: *Any Graduate with 1 year experience*.
Candidate should be fluent in Hindi and English (Versant Level 4)."
Legal - Non ligitation,INSPIRA BUILDERS,"Bengaluru, Karnataka",Full-time,N/A,"To be aware of the local land laws.
Co-ordinating with the Business Development Team/land aggregator for procuring all documents related to land."
Personal Assistant,GM Diamond Group,"Remote in Surat, Gujarat",N/A,"₹60,000 - ₹80,000","Have to go on trips with the boss.
Total work: 1 year (Preferred)."
Data Executive,EatEasily Online Pvt. Ltd,"Bengaluru, Karnataka",Full-time,N/A,We are seeking a Data Entry Executive(Females candidates exclusively) who will be responsible for entering information from paper documents into our database.
pharma marketing,jaibavvethub,Remote,N/A,N/A,Total work: 1 year (Preferred).
Game Tester,Safeware Solutions Pvt Ltd,"Gurgaon District, Haryana",N/A,"₹23,000 - ₹25,000","Higher education degree with a good understanding of India's economic landscape, education system, and entrepreneurial environment."
Telesales,TilliT Solutions,"Remote in Bengaluru, Karnataka",Full-time ,N/A,Higher Secondary(12th Pass) (Preferred).
Travel & Events Admin,Simpled International Education,Remote,N/A,N/A,"This position requires excellent customer service skills, attention to detail, and the ability to handle multiple tasks effectively."
Banking Associate Required,MDG Star Overseas,"Barddhaman, West Bengal",N/A,"₹20,000 - ₹40,000","Overall, the Associate role at a Bank requires a combination of leadership, customer service skills, financial acumen, and regulatory knowledge to effectively…"
tellecaller,OSP Labs Pvt Ltd,Remote,Full-time,N/A,"Contacting current and potential clients to inform them regarding our services.
Cold calling: 3 years (Required).
Making 100-300 call a day."
US IT Recruiters (Female remote),Sri Rudhira Tek,Remote,N/A,"₹10,133.99 - ₹15,000.00","Understand our clients' business and IT initiatives, as well as their specific technical and cultural environments to best match the candidates with their…"
Graduate Trainee,Emerald Jewel Industry India Limited,"Narasimhanaickenpalayam, Coimbatore, Tamil Nadu",Full-time ,N/A,"Qualification : B.Com (2024 Batch). Computer Knowledge : MS Office. Immediate Joiners preferred. Job Type: Full-time Pay: ₹20,000.00 - ₹25,000.00 per…"
Virtual Assistant ( Night Shift ),Tier5,Remote,Monday to Friday ,N/A,"As a Virtual Assistant, you will play a crucial role in supporting our team by handling various tasks, including scheduling client calls, engaging with clients…"
Travel Sales – Work from home for Women,TheBirbal,Remote in Delhi,N/A,"₹20,000 - ₹25,000","With TheBirbal, the company intends to offer best possible assistance to their customers for firming up their Holiday Travel plan."
Social Media Intern,Supermaths,Remote,Full-time,N/A,"We are currently hiring candidates for a position of a Social Media Intern..
Manage Social Media postings- Facebook, Insta, twitter."
Freelance Soft Skills Trainer,Naandi Foundation4.0,"Mysuru, Karnataka",N/A,N/A,"Are you willing to stay for 6 days in a college to complete the training program?
Any valid certificate of training will be an advantage."
Overseas Counselor,Matrixx Overseas Migration,"Kottayam, Kerala",N/A,"₹4,000 - ₹5,000",Provide excellent customer service by proactively responding to client queries and advising them on their immigration and visa needs.
Online Art & Craft Instructor,Excellanto,Remote,Internship,N/A,"Proven experience as an art and craft instructor, preferably in an online setting.
Maintain regular communication with students to address queries, provide…"
QA Manual Tester,Stark.Ai,Remote,Part-time ,N/A,"Their role is to identify potential user issues and help developers find solutions.
Analysis and execution of test cases.
Job Types: Full-time, Permanent."
Telecaller,Fulcrum Resources Infinity Private Limited,Remote,N/A,"₹15,000 - ₹20,000","Note :* Understand English ,kannada & Hindi and Talkative Candidates are preferable.
Day Shift : 10 : 00 AM to 8 : 00 PM.
6 Days Working, 1 Week Off."
Storeperson,Guddwill Spaces LLP,"Wakad, Pune, Maharashtra",Full-time,N/A,"A storeperson's job is to receive, check, store, and send out goods in warehouses and storage facilities."
Godown keeper,Sarda Group,"Akola, Maharashtra",N/A,N/A,"Maintain an automated supply inventory database..
*Ensure the reception, storage, dispatch and daily management of the stock of products marketed by the…"
Akashic Reader,coto,Remote,N/A,N/A,"Proven experience as an Akashic Reader or similar role, with strong intuitive abilities and knowledge of spiritual principles.
Job Type: Full-time, Part-time."
Founder's Office (Strategy + Sales),Mixo Ads,Remote,N/A,"₹6,00,000 - ₹10,50,000","INR 70,000 - INR 100,000 per month to start; potential for increase up to INR 150,000 per month after a 3-month review.
B2B sales: 3 years (Preferred)."
Architectural writer,Kaarwan Eduventures Pvt Ltd,Remote,Full-time ,N/A,"They will craft various content types — including website copy, blog posts, social posts, and product descriptions — that address our target audiences and…"
Akashic Reader,coto,Remote,N/A,"₹70,000 - ₹1,00,000","Proven experience as an Akashic Reader or similar role, with strong intuitive abilities and knowledge of spiritual principles.
Job Type: Full-time, Part-time."
Founder's Office (Strategy + Sales),Mixo Ads,Remote,Full-time,N/A,"INR 70,000 - INR 100,000 per month to start; potential for increase up to INR 150,000 per month after a 3-month review.
B2B sales: 3 years (Preferred)."
Admin,EPIC AGRO PRODUCTS PVT. LTD,"Amta, West Bengal",Monday to Friday ,N/A,"Ensure confidentiality and integrity of sensitive information.
Vendor Management: Liaise with vendors and service providers for various facility-related…"
Call Representative,Veracity Resourcing and Services,Remote,N/A,"₹12,000 - ₹18,000","To identify & access the client’s needs, clarify information and provide appropriate solution to client’s concern."
Customer Care Executive,Full Potential Solutions,"Pune, Maharashtra",Full-time ,N/A,Customer service experience or call center experience in remittance companies and delivery service business industries is also a plus.
CRM Executive,INSPIRA BUILDERS,"Shimoga, Karnataka",N/A,N/A,We are looking for female candidates with 2 - 5 years of experience in any field with good communication skills and computer literature.
Admission Counselor,Integgral Corporate Service,Remote,N/A,"From ₹35,000",You’ll be responsible for ensuring that the courses and offerings of Lawctopus Law School (www.lawctopuslawschool.com) are sold well to our learners.
banking job,HRQuadrant,"Thiruvananthapuram, Kerala",Full-time,N/A,"Resolve customer queries/issues and facilitate customer service.
Follow the various internal guidelines and procedures of the bank."
Marketing and Sales Intern,Edufront Technologies Private Limited,Remote,N/A,N/A,"Pay: Up to ₹15,000.00 per month.
Generate and qualify leads through various channels.
Conduct market research to identify potential clients- Maintain and update…"
Data Entry Operators,Dimension India Networks (P) Ltd.,Delhi,N/A,"₹15,000 - ₹50,000",Profile: Computer entry of various data and MIS.
Content Writer Intern,EvolveNow Media,Remote,Full-time ,N/A,"Optimize current copy on a client's website.
Implement various elements of a client's content marketing strategy as instructed by the reporting Manager."
"Virtual Customer Support Associate - Andhra Pradesh,India",Amazon.com,"Remote in Visakhapatnam, Andhra Pradesh",N/A,N/A,"In order to match our customer demand, we schedule based on a variety of different shift patterns within the operating hours of 6 am and 11 pm Sunday to Monday."
Hospital Administration Faculty,IGNITE SKILL ACADEMY,Remote,N/A,"₹5,000","Looking for an experienced trainer who has great knowledge in Hospital administration.
Should be able to handle a batch of 50+ students making them learn the…"
Graphic Designer,Wing AI,Remote,Full-time ,N/A,"Maintain high-quality brand consistency across multiple international platforms.
Develop promotional material and design visuals for the campaign phases."
Production Executive (M Pharma),Blessings Healthcare Private Limited,"Solan, Himachal Pradesh",N/A,N/A,"Packing of finished product and labelling of intermediate, finished products, and its storage as per SOP.
Performing and online updating of equipment cleaning,…"
E-commerce Graphic Designer (Remote),AM & R co,Remote,N/A,"₹30,000 - ₹42,000","Graphic design: 3 years (Required).
This role will focus primarily on designing hero images, product packaging, and product inserts, as well as creating…"
Operation Executive,shree rsc tutors,Remote,Full-time,N/A,"Communicate with teachers via email and respond to any academic inquiries.
Oversee the end-to-end hiring process for teachers, including conducting analysis,…"
Part-time Graphic Designer,Nexzono Enterprises,Remote,N/A,₹200 - ₹300,"Bachelor's degree or higher in Graphic Design or a related field.
Stay updated on industry trends and create memes posts & reels.
Expected hours: 15 per week."
Model Artist (For Social Media),Amodha Business Center,Remote,Part-time,N/A,"Looking Model Artist for creation of brand promotion, Company Product Marketing, Event Advertisement and Social Media Promotional Activities."
Social Media Intern,Dr.interiorwala,Remote,N/A,"₹15,000 - ₹22,000","Pay: Up to ₹10,000.00 per month.
Social Media Freelancer for Instagram Needed.
Create visually stunning and engaging content ( post's, stories and reels)."
Data Entry Operators,JS Leads Technologies Pvt. Ltd.,"Nagercoil, Tamil Nadu",Full-time,N/A,"To be a successful data entry operator, you should possess excellent typing skills and be attentive to detail.
Strong written and verbal communication skills."
COPYWRITING,Socio Labs,India,N/A,N/A,"Our amalgamation of creativity and technology will restyle your websites, social media, ranking in search engine researches and bring you quality leads for…"
Factory Incharge,magnum polymer pvt ltd,"Bhubaneswar, Orissa",N/A,"₹15,000 - ₹18,000","MINIMUM 3 YEARS OF EXPERIENCE THE CANDIDATE MUST HAVE.
HE MUST BE RELOCATE BEFORE STARTING THE JOB.
Total work: 2 years (Preferred)."
Provider Relations Coordinator (Remote),ChartRequest,Remote,N/A,N/A,"The PSR will build interest, and set up demonstrations to educate their dedicated markets and ensure that health information workflows are smooth between our…"
Email Marketing,KD Market Insights,Remote,N/A,N/A,"Should be a computer literate.
Should be fluent in English.
Prior experience of email handling is a plus.
Job Types: Full-time, Permanent."
Phonics Tutor,Learn2read,Remote,N/A,"₹2,50,000 - ₹4,50,000","It is mandatory to devote 3 hours in a day flexible according to the teacher's availability.
Minimum 2 years of teaching experience in kindergarten and pre…"
Packing Helper,Priudent Arts and Fab Private Limited,"Navi Mumbai, Maharashtra",Full-time,N/A,"Managing Dispatch, Inward and Outward of Goods.
Manage, pack and supervise the packing of products.
Quality Check, matching labels with order sheet."
BSC Fresher,HVR INDUSTRIES PVT. LTD.,"Kharkhauda, Haryana",N/A,N/A,"Collect and prepare research and information needed for studies.
Stay informed with the latest industry trends, techniques, and best practices."
Admin Officer,O3Hire,"Pimpri, Pune, Maharashtra",N/A,"Up to ₹25,000","Act as a central point of reference for internal and external queries, ensuring that messages are recorded and reported on in a timely manner, including contact…"
Marketing Executive (Kerala),Pure N Safe Pvt. Ltd.,"Kochi, Kerala",Full-time ,N/A,"Keep an updated customer database.
Reach out to existing and potential customers to present our product and service offering.
Keep records of calls and sales."
Tutoring-English,eTutorWorld,Remote,N/A,"₹10,000 - ₹20,000","We are looking for teachers/tutors with teaching experience in English.
Graduate or post graduate who can teach English."
Trainee - Fresher,Qaroo Learnings India Pvt. Ltd.,"Coimbatore, Tamil Nadu",Contractual / Temporary,N/A,Candidates Should Completed a Degree/Diploma in any Discipline.
STORES,Larsen & Toubro,"Hazira, Surat, Gujarat",Monday to Friday,N/A,Candidate should have minimum experience of 10 years in our kind of Heavy Engineering Industries with exposure in Stores Processes.
Creative Content Writer,Devolv Studio,Remote,N/A,"₹30,000 - ₹35,000",You should be a creative thinker who can transform technical and digital information and processes into compelling stories.
Freelance Content Writer (Tamil),QDev Technolab,Remote,Full-time ,N/A,"Write clear marketing copy to promote our products/services.
Identify customers’ needs and gaps in our content and recommend new topics."
School Center Admin (Only females),Klay Preschools and Daycare,"Goregaon, Mumbai, Maharashtra",N/A,N/A,"Work Timings* 9 hrs shift – 2:30 pm to 11:30 pm.
Experience *2-6 years of Front office and admin experience.
Responsible for all admin activities."
Policy Advisor,Irasec institute of Research (South-East...,Remote,N/A,"₹48,000 - ₹72,000","Payment of 150$-$200(12000 INR -16,000 INR) per article, and u must advise for 2-4 arfticle /month, so payment would be$600-$800( 48,000 INR - 72,000 INR per…"
Helper,PPM BUSINESS MANAGEMENT PVT LTD,"Gurugram, Haryana",Part-time ,N/A,"Job Types: Full-time, Permanent.
Total work: 1 year (Preferred)."
Content Creator,Adibits Technologies,Remote,N/A,N/A,"Research industry trends and audience needs to create relevant and impactful content.
Develop and produce high-quality content for our website, social media,…"
Associate,EY,"Bengaluru, Karnataka",N/A,"₹15,000 - ₹16,000",You will work closely with other members of the Finance and accounting teams (India and Overseas) and provides accurate and timely information for month-end…
Associate Executive,Futops Technologies India,"Pimpri-Chinchwad, Maharashtra",Full-time ,N/A,"They follow sales leads and open up new avenues for the business to target and focus on customer relationship management.
Job Types: Full-time, Fresher."
supervisor,Wheelers Detailer,"Gajraula, Uttar Pradesh",N/A,N/A,". 4 Wheeler driving is mandatory for the male candidates.
Candidate must have at least 2yrs of sales experience.
Showing demos to the customers."
tellecaller,vijay associates,"Bhopal, Madhya Pradesh",N/A,"₹22,000 - ₹38,000","Contacting current and potential clients to inform them regarding the service.
Keeping the customer database maintained and updated."
Clinical SAS Programmer,Clini launch Business Solutions,"Koramangala, Bengaluru, Karnataka",Full-time ,N/A,This entry-level role is an excellent opportunity to start your career in the clinical research industry and gain hands-on experience in statistical programming…
Data Entry Operator,Intelligent Technologies,"Balasore, Orissa",N/A,N/A,"Keyskills: Candidate should have good Typing speed (35 above speed),English language proficiency reading and writing, proficient work on the computer as well as…"
Retail banking,Cogent E-Services,"Whitefield, Bengaluru, Karnataka",N/A,"From ₹60,000","Both for freshers and experienced.
The successful candidate will be responsible for providing exceptional customer service and support to retail banking clients…"
Disc Jockey,Bel Cibo Hospitality Pvt. Ltd.,"Delhi, Delhi",Full-time,N/A,Elevate the Atmosphere: Set the tone and energy of the bar by curating an electrifying music selection that complements the upscale ambiance and keeps guests…
Warehouse Assistant – Bengaluru,Texmo Industries,"Bengaluru, Karnataka",N/A,N/A,Responsibilities: E-way bill & HUB invoicingInventory accounting – Finished goods/Spare/POP itemsDispatch & receipt operation with terminal scanner gunMIS…
STORES,Larsen & Toubro,"Hazira, Surat, Gujarat",N/A,"Up to ₹4,10,000",Candidate should have minimum experience of 10 years in our kind of Heavy Engineering Industries with exposure in Stores Processes.
Admission Counselor,Integgral Corporate Service,Remote,N/A,"₹2,50,000 - ₹4,50,000",You’ll be responsible for ensuring that the courses and offerings of Lawctopus Law School (www.lawctopuslawschool.com) are sold well to our learners.
Digital Marketing Intern,The Night Marketer,Remote,Full-time,N/A,"Monitor social media trends and adjust strategies to align with current best practices.
Opportunity to work directly with an experienced professional in the…"
Canara Bank- Insurance - max ctc upto 4.1 LPA,JOBS N TA HR Services,India,N/A,N/A,"Identify new business opportunities through acquisition of new customers and expansion.
Manage relationships with existing clients to increase customer…"
Admin Officer,O3Hire,"Pimpri, Pune, Maharashtra",N/A,"₹9,000 - ₹22,000","Act as a central point of reference for internal and external queries, ensuring that messages are recorded and reported on in a timely manner, including contact…"
"Assistant, Field Officer, Accounting Clerk, Peon",Addition Baroda Bank,"Sultanpur, Uttar Pradesh",Full-time,N/A,"He/She must be hard working and loyal for His/Her work.
Candidate's Graduation is Mandatory & Must have Computer Knowledge.
ID Proof, Addresh Proof (Required)."
HOLIDAY LIST,Spicejet,India,N/A,N/A,26-Jan-24 Thur Republic Day.
Travel Sales – Work from home for Women,TheBirbal,Remote in Delhi,N/A,"₹15,000 - ₹16,000","With TheBirbal, the company intends to offer best possible assistance to their customers for firming up their Holiday Travel plan."
Receptionist,Seven Hills Hotels & Resort Shimla Manali,"Shimla, Himachal Pradesh",Full-time ,N/A,"Responding to requests for help and information.
Arranging travel and providing information about local amenities and attractions."
tellecaller,OSP Labs Pvt Ltd,Remote,N/A,N/A,"Contacting current and potential clients to inform them regarding our services.
Cold calling: 3 years (Required).
Making 100-300 call a day."
Document Verification Executive,Insys IT,"Anna Nagar, Chennai, Tamil Nadu",N/A,"₹30,000 - ₹50,000","Some responsibilities of a document verification executive include: Verifying documents received from client coordinators, Working with client coordinators to…"
Customer Support Associate,Bridgexcel innovations pvt ltd,"Gurugram, Haryana",Full-time ,N/A,"Customer service: 1 year (Preferred).
POSITION -- CUSTOMER SUPPORT ASSOCIATE (INTERNATIONAL VOICE PROCESS).
FOR EXPERIENCE UPTO 6 LPA."
Business Process Associate,Ovatix IT Solution,"Pimpri-Chinchwad, Maharashtra",N/A,N/A,"Monitoring and analyzing company processes.
Keeping a track of any delays and obstacles in the production process.
Job Types: Full-time, Permanent, Fresher."
Personal Assistant,GM Diamond Group,"Remote in Surat, Gujarat",N/A,"₹23,000 - ₹32,000","Have to go on trips with the boss.
Total work: 1 year (Preferred)."
Food Auditor (IRCTC),BSCIC,India,Full-time ,N/A,"Science Graduates with minimum 2 Year working Experience(Prefer in Food).
Any Graduates with Diploma in Food Technology/Dairy Technology/Catering with minimum 1…"
Online Math Tutor (Midnight USA timings),Einsteins Square,Remote,N/A,N/A,"Have a high speed internet (more than 10 mbps upload speed) , noise cancelling headphones, inbuilt webcam and a digital pen tablet."
Recruiter - Freshers,Reccon,Remote,N/A,"₹25,000 - ₹30,000","1 month Training for MBA freshers with Placement.
Sourcing the candidate through the job Portal and social media."
Provider Relations Coordinator (Remote),ChartRequest,Remote,Full-time ,N/A,"The PSR will build interest, and set up demonstrations to educate their dedicated markets and ensure that health information workflows are smooth between our…"
Associate: Supply Chain Team,PinkBlue.in,"Bengaluru, Karnataka",N/A,N/A,"Develop new vendors based on business / stakeholder requirements.
Negotiate with suppliers to ensure cost, quality and delivery expectations."
Packaging Supervisor,venkys india ltd,"Sinhgad Road, Pune, Maharashtra",N/A,"₹5,000 - ₹10,000","The ideal candidate will have a background in manufacturing, excellent leadership skills, and a commitment to maintaining quality and safety in the workplace."
Data Entry Executive,Toggle Technology,"Jaipur, Rajasthan",Full-time ,N/A,"We are looking for a Data Entry Operator to update and maintain information in our Systems..
Fast typing with an eye for detail *."
Founder's Office (Strategy + Sales),Mixo Ads,Remote,N/A,"₹70,000 - ₹1,00,000","INR 70,000 - INR 100,000 per month to start; potential for increase up to INR 150,000 per month after a 3-month review.
B2B sales: 3 years (Preferred)."
Customer Support Agent,Delta Exchange,Remote,Full-time,N/A,"Identify and escalate complex issues to senior customer service representatives or managers.
Handle customer inquiries via email and chat."
Freshers- Life Insurance- ctc max upto 5.75 LPA,JOBS N TA HR Services,"Bengaluru, Karnataka",Monday to Friday ,N/A,"To recruit train and develop a team of insurance agents to create business opportunities.
To achieve business targets through field sales of insurance product."
Operation Executive,shree rsc tutors,Remote,N/A,"Up to ₹5,75,000","Communicate with teachers via email and respond to any academic inquiries.
Oversee the end-to-end hiring process for teachers, including conducting analysis,…"
